galaxy,redshift,pixscale,obs2phys,semimaj,axisrat,mag160,ra,dec
gal00000,1.6280000000000001,20.0,8.472052114516435,0.3,0.4,25.7553,34.4483686,-5.2194928
gal00002,2.31,20.0,8.198900867926483,0.12,0.67,24.6175,34.3604785,-5.2196415
gal00004,1.5919999999999999,20.0,8.472317386635194,0.59,0.33,23.7823,34.56470170000001,-5.2196968
gal00005,2.873,20.0,7.799686996338504,0.51,0.4,24.6846,34.418951899999996,-5.2196316
gal00008,1.5590000000000002,20.0,8.470631630811338,0.24,0.3,25.4696,34.3124697,-5.2195964
gal00009,1.105,20.0,8.179989961611515,0.24,0.25,25.5656,34.3983308,-5.219443
gal00010,2.755,20.0,7.888097168553559,0.2,0.45,25.5403,34.49700670000001,-5.2193833
gal00011,1.405,20.0,8.434575502895997,0.64,0.66,21.3251,34.3862968,-5.2212177
gal00013,1.045,20.0,8.088622730288169,0.25,0.44,23.6601,34.401782399999995,-5.219781200000001
gal00014,2.1319999999999997,20.0,8.304400855973402,0.2,0.18,26.4947,34.2865985,-5.2711023
gal00015,2.9730000000000003,20.0,7.723872271198022,0.07,0.73,26.2461,34.431500299999996,-5.2193618
gal00016,1.6230000000000002,20.0,8.472214991219401,0.21,0.21,25.6809,34.487024700000006,-5.2193635
gal00017,1.435,20.0,8.44561890511557,0.18,0.52,25.3343,34.3122708,-5.2194729
gal00020,1.621,20.0,8.472268967778222,0.2,0.37,24.7928,34.3161529,-5.2196002
gal00023,1.3559999999999999,20.0,8.411785525510771,0.12,0.46,24.1814,34.4986658,-5.2194843
gal00024,1.032,20.0,8.06658720219602,0.43,0.24,23.546999999999997,34.309954499999996,-5.2195485999999995
gal00026,1.8880000000000001,20.0,8.416897279025369,0.16,0.62,24.6762,34.4744648,-5.2192508
gal00031,1.047,20.0,8.091939316980126,0.15,0.47,26.5977,34.2944293,-5.2191975
gal00033,2.925,20.0,7.760341393192625,0.19,0.37,25.63,34.5151694,-5.219183
gal00035,2.92,20.0,7.764132627496432,0.02,0.84,26.338,34.2918294,-5.219144200000001
gal00038,1.369,20.0,8.418430924564202,0.37,0.26,22.9463,34.2779747,-5.2718568
