,Unnamed: 0,ra_1,dec_1,TYPE,g,r,z,w1,w2,rg_EXP,rg_DEV,fluxg,fluxr,fluxz,fluxw1,fluxw2,shapeexp_e1,shapeexp_e2,shapedev_e1,shapedev_e2,col1,ra_2,dec_2,redshift,weight,mass_stellar,Separation
24,24,0.116168417,-1.043156688,DEV,19.99391112,18.17843504,17.16723073,16.4990562,16.97631126,0,5.9443173,10.056238,53.533543,135.86504,251.40709,161.98526,0,0,0.17825848,-0.059038855,635636,0.11616,-1.04317,0.4388,1,11.88605,0.056694325
243,243,0.178320445,2.420934655,DEV,19.87608563,17.99970834,17.02752235,16.37551061,16.85730561,0,6.325048,11.208971,63.112686,154.52226,281.70578,180.74977,0,0,-0.1545432,0.19998932,652647,0.17833,2.42094,0.42275,1,12.01232,0.039386994
765,765,0.452341611,-9.445061706,DEV,20.03298102,18.87920521,18.06770648,17.65184227,17.99369633,0,1.2331923,9.700801,28.07488,59.281258,86.9487,63.463127,0,0,0.20436954,0.1675621,832727,0.45228,-9.4453,0.31687,1,12.08952,0.885317812
902,902,0.463691739,6.566432652,DEV,19.95841814,18.98855218,18.19127929,17.72158033,17.9931514,0,6.2015777,10.390411,25.385115,52.903973,81.53947,63.494987,0,0,-0.72041714,0.049570117,641569,0.46365,6.56641,0.169,1,10.27003,0.17009698
1037,1037,0.272415221,15.41989402,DEV,19.40834759,18.48316074,17.86163444,17.90446707,18.20611821,0,0.94778556,17.244911,40.432976,71.671455,68.89904,52.185844,0,0,-0.020432655,0.007760502,753636,0.27244,15.41985,0.17816,1,10.78729,0.180313861
1203,1203,0.370623332,31.23540272,DEV,19.98031739,19.30226357,18.59048128,17.95489632,17.93385228,0,8.922364,10.182937,19.014923,36.627518,65.772064,67.05931,0,0,0.028639132,0.3989362,755501,0.37072,31.23537,0.59297,1,11.3008,0.320033294
1333,1333,0.677767609,-6.23919505,DEV,20.16613747,18.83105191,17.7807169,17.07259885,17.26589734,0,5.5310345,8.5811405,29.34805,77.21706,148.23831,124.06265,0,0,-0.44613367,0.13526982,827551,0.67773,-6.23916,0.21043,1,10.91214,0.184486643
1592,1593,0.616027543,13.12134334,DEV,20.19401652,19.18735758,18.36319377,17.75982389,17.85408772,0,0.9847511,8.363603,21.137663,45.15673,78.71735,72.171364,0,0,0.28241676,-0.015322043,776274,0.616,13.12126,0.20141,1,11.10249,0.315169017
1817,1818,0.757902236,33.17664639,DEV,19.31197166,18.53194309,18.02426801,18.75404383,19.53642982,0,3.2026064,18.84566,38.65652,61.701084,31.505217,15.3259735,0,0,0.220655,0.21743236,756207,0.75787,33.17671,0.06313,2,9.37712,0.248743818
2977,2978,1.278479243,28.12098131,DEV,20.13391629,19.03314313,18.16601407,17.88257123,18.3545333,0,2.699971,8.839618,24.363672,54.14949,70.30262,45.518368,0,0,0.00255698,0.25146165,755550,1.27845,28.12094,0.67147,1,11.72732,0.175335464
2987,2988,1.300030487,28.94242716,DEV,20.17749154,18.35804932,17.32876907,16.5862027,17.1183758,0,5.1544147,8.491871,45.3712,117.0826,232.01653,142.1182,0,0,0.26088932,0.13095652,756117,1.30007,28.94244,0.46138,1,12.04543,0.132790971
3374,3375,1.467074284,32.283655,DEV,20.13777704,18.31247911,17.27753384,16.49931916,17.08990326,0,4.033698,8.808241,47.316036,122.7401,251.3462,145.89442,0,0,-0.11071348,-0.15170051,814389,1.46709,32.28364,0.46874,2,12.15669,0.072134794
3410,3411,1.430704967,11.22136646,DEV,20.07832075,18.93631646,18.14118257,17.57580826,17.94925354,0,3.1942124,9.304043,26.63627,55.402195,93.25598,66.114784,0,0,-0.011718387,-0.08531233,784553,1.43075,11.22137,0.54571,1,11.36844,0.159530503
3748,3750,1.74202552,-5.594243252,DEV,19.5029378,18.91254839,18.55383215,19.27252037,19.72766874,0,2.797764,15.806106,27.2258,37.884987,19.543028,12.850869,0,0,0.02716743,0.14556313,820146,1.74198,-5.59432,0.21301,1,10.1955,0.320838928
4791,4793,1.970533796,20.43609743,DEV,19.98930007,18.3793338,17.4644113,17.15072987,17.5857296,0,2.4996545,10.099037,44.490417,103.33215,137.94566,92.4077,0,0,0.09083,0.06369458,791091,1.97052,20.43611,0.29118,1,11.59166,0.064914229
5247,5249,2.247864772,15.01738907,DEV,19.85799108,18.22717929,17.35382125,16.84801986,17.33506103,0,5.116925,11.397342,51.1833,114.41198,182.30226,116.40606,0,0,-0.11724044,0.14568843,753407,2.24791,15.01743,0.38308,1,11.68683,0.215495943
5455,5457,2.296710534,-1.678059687,DEV,19.86563123,18.7582844,17.83696974,16.95696769,17.49770872,0,5.911335,11.317422,31.382406,73.31825,164.89706,100.21126,0,0,-0.044231508,-0.14543709,693148,2.29667,-1.67805,0.61989,1,11.8744,0.149972269
5501,5503,2.363586374,-3.884413683,DEV,20.06274086,18.71349913,17.71943283,16.93954319,17.53150911,0,5.3345394,9.438515,32.70396,81.700905,167.56477,97.13961,0,0,0.16136184,-0.17690967,821483,2.36362,-3.8844,0.5825,2,11.87016,0.130435992
5822,5824,2.397807862,10.1691821,DEV,20.11332798,18.20834328,17.14700625,16.32024204,16.87824496,0,4.915518,9.008839,52.079006,138.41957,296.41705,177.29726,0,0,0.07020533,0.16817704,779724,2.39776,10.16914,0.48563,1,12.2264,0.227441831
5834,5836,2.466314056,10.82321955,DEV,19.21317533,18.12235583,17.4209643,17.76059593,18.27694204,0,4.7806244,20.640959,56.37125,107.55096,78.66139,48.890354,0,0,0.015422341,0.29739517,784313,2.46632,10.82326,0.16382,1,10.21457,0.147144439
5898,5900,2.377611708,15.99709218,DEV,20.06279154,18.53645264,17.41882896,16.95190973,17.50546036,0,5.3706565,9.438074,38.496296,107.76269,165.66704,99.498344,0,0,0.04074747,0.072170965,753888,2.3776,15.99711,0.5287,1,11.81229,0.075876046
6089,6091,2.552141099,34.49236925,DEV,19.88104775,19.23816667,18.58823833,17.81742445,18.55992799,0,1.2341874,11.15786,20.171274,36.703262,74.65007,37.67288,0,0,0.03073123,-0.029760273,754122,2.55213,34.4924,0.43993,1,11.74217,0.115501923
